# qstring	previous	current	probability
ph z;mfqh]O	案	遵照辦理	-0.884694
nq j64L:W	得	非常好	-0.887726
kGGK ]O:i	條文	裡面	-0.888162
L_}i kGGK	部分	條文	-0.888162
}Q\y _M|J	我們	同仁	-0.89124
CE^: D;	臺灣	跟	-0.894807
U3 L]mf	柯	總召	-0.897519
CE^: tf	臺灣	要	-0.902573
2@ ^Hvf	籍	投票	-0.90397
0] _M|J	請	同仁	-0.904907
kGGK 0_	條文	是	-0.905376
^l <i0_	鏡	電視	-0.90679
?1 Ei_d	它	現在	-0.908213
?1 UOo=	它	已經	-0.913505
Ci0W |O	健保	署	-0.91595
mlVD ph	凍結	案	-0.918919
0W R0];	保	基金	-0.919917
Wl F0rq	訂	一個	-0.924971
paLP 0_	作法	是	-0.925482
kG ?0Em	條	之二	-0.925995
^l KM?E7k	淨	零排放	-0.935951
ph }80_	案	都是	-0.939729
`d KloO	蔡	政府	-0.946349
6Tml ph	解凍	案	-0.946349
3Ebi \_	決算	數	-0.947471
CMYc 8_8_	營業	秘密	-0.955476
ac]_ A_S_	列入	紀錄	-0.957815
xU g:C_	美	關係	-0.957815
ph mlVD	案	凍結	-0.958403
?1 HE0_	它	還是	-0.960176
tf {?^=	要	提升	-0.961366
xY A_2@	緩	濟急	-0.966797
p?J` R=S_	實價	登錄	-0.96802
6_tfp? nq	必要時	得	-0.968635
kO =_PA	伍	麗華	-0.969868
2_}^ kG=_	自治	條例	-0.970488
3>^H ph	公投	案	-0.972355
~\x@ _M|J	警察	同仁	-0.972981
ph UOo=	案	已經	-0.974238
mlVD \_	凍結	數	-0.975501
~_ Ljn_	納	進去	-0.976135
n?aJ QMPO	職權	行使	-0.976771
O_Cf |O	賦稅	署	-0.978049
Wk M<QE	像	剛才	-0.978049
3en5 A_	快篩	劑	-0.97869
Wk Ibx4	像	這些	-0.97869
MW6T Ibrq	瞭解	這個	-0.981922
oO R0];	撫	基金	-0.982574
}Q_d lO:>	我再	補充	-0.983228
>J UOrg	完	以後	-0.983883
CE^: EEu[	臺灣	來講	-0.985861
k0 zOA_b[	朱	主計長	-0.985861
Kb F0rq	設	一個	-0.985861
aJ=_ EE	全力	來	-0.988524
<i ql^=	電	共生	-0.989194
?1 6_11	它	必須	-0.990541
?10_ =@0_	它是	不是	-0.991217
CE^: N_5J	臺灣	目前	-0.991217
H:Wd wK}^	菸害	防制	-0.993258
f< O]T<	江	永昌	-0.993942
F0Wk 0_	一項	是	-0.996006
Ib5_ N_	這一	目	-0.996699
CE^: IFNX	臺灣	沒有	-0.997393
Wk xUWB	像	美國	-0.997393
kG kGGK	條	條文	-0.998089
CEhI0_ KloO	臺南市	政府	-1.00019
nq =@pg	得	不夠	-1.003022
ph Jbph	案	撤案	-1.005888
N@7R Wk	如果	像	-1.00661
^H g5vfCR	投	開票所	-1.007334
QWKl |O	矯正	署	-1.00952
zj 9>_;	訓	中心	-1.010253
CE^: Kb=f	臺灣	社會	-1.013954
CbL_=f IXb[	各部會	首長	-1.015451
0>0> }8	統統	都	-1.017714
tf 3>L_	要	公布	-1.018473
0_ cY5W	式	檢討	-1.019235
ph rFzO	案	為主	-1.019235
A00J u?	失聯	移	-1.022307
xgeY Yc	壽險	業	-1.023858
9>nH 3>E0	中油	公司	-1.024638
F0 L7Wl	依	規定	-1.02542
}QNO 0_w[	我只	是想	-1.026204
FM ~I=f	明	年會	-1.026991
CE^: o=A_	臺灣	經濟	-1.028574
]; ~I=f	今	年會	-1.029369
=1PY |O	發展	署	-1.031771
CE^: 2fEE	臺灣	未來	-1.031771
Q;2f?1 NX	因為它	有	-1.033386
kGGK 9>	條文	中	-1.034198
`d 0_Rl	蔡	適應	-1.035013
|J0_ Ye	人事	費	-1.035013
QMPO LP	行使	法	-1.035013
:h1g R@	就教	於	-1.03583
_dpa F0rq	再做	一個	-1.038299
4L 03FM	長	說明	-1.039128
?1 dR4M	它	可能	-1.03996
=_LP =_	立法	例	-1.040795
Ve n?kK	備	質詢	-1.045014
S_Kl E0	路政	司	-1.045867
Wk Ib3_	像	這次	-1.045867
WBU_ |O	國庫	署	-1.047582
?1 yS0_	它	也是	-1.050179
C02: |O	資安	署	-1.050179
Wk 1_KZ	像	日本	-1.050179
?1 NO0_	它	只是	-1.051051
MW6T Zo	瞭解	嗎	-1.052805
ph 0_=@0_	案	是不是	-1.052805
:_L` _`	地下	化	-1.054572
?10_ NX	它是	有	-1.054572
?1 c=f5	它	應該	-1.05546
0_K_ Ye	事務	費	-1.05546
5_hG A0	疫苗	施	-1.056352
U3A_ =f_f	科技	會報	-1.058146
h<g: kGGK	相關	條文	-1.059048
?1 3@p?	它	其實	-1.059954
YewI 5_PM	肺炎	疫情	-1.059954
_M5_ cY	同意	減	-1.060863
ph :h0_	案	就是	-1.061775
7fxd 3>L_	對外	公布	-1.064535
nH3@ Wk	尤其	像	-1.064535
?1 4Mpg	它	能夠	-1.065462
}Q_d 0]	我再	請	-1.065462
FMCd _`	明確	化	-1.065462
L7Wl nq	規定	得	-1.065462
}Q\y NXn_	我們	有去	-1.066392
@@=_ L_	福利	部	-1.066392
WlQM _`	定型	化	-1.066392
C0 xdgc	資	外洩	-1.067327
?1 N@7R	它	如果	-1.069207
if cVYe	耗	水費	-1.069207
_` B_G5	化	契約	-1.071102
cO5J wK}^	洗錢	防制	-1.071102
CRUO Wk	所以	像	-1.073974
\0 zB0i\=	烏	俄戰爭	-1.074939
1K~K 3>=f	銀行	公會	-1.075908
Ek?1 4Mpg	讓它	能夠	-1.076881
ph IFNX	案	沒有	-1.077858
|O IbI:	署	這邊	-1.080814
wT:L 0Wa_	海洋	保育	-1.080814
4>B_ \0SY	空氣	污染	-1.081808
]O 0CrF	李	德維	-1.082806
5_GK QYYc	藝文	產業	-1.083808
CE^: yS	臺灣	也	-1.083808
aJ=_ XDZ_	全力	協助	-1.084814
mlTJ |O	動員	署	-1.084814
MW6T 0_	瞭解	是	-1.084814
phCi \_	案件	數	-1.084814
u[ lOZ_	獎	補助	-1.084814
TJ kGGK	原	條文	-1.08684
1_ 3>L_	日	公布	-1.087859
parF F0rq	做為	一個	-1.087859
xU ?0T:	美	之間	-1.089912
|_LPg: 0_2_	大法官	釋字	-1.090945
Q;2f Wk	因為	像	-1.091982
Slph cY	併案	減	-1.091982
03FM nq	說明	得	-1.094071
5_GK 3>paiR	藝文	工作者	-1.094071
KZ=f 3@	本會	期	-1.094071
s2@W Ci	多少	件	-1.094071
C::_ h<	山地	鄉	-1.096179
?10_ |OR@	它是	屬於	-1.09724
5_ zhzh	議	看看	-1.098306
UOo= 3;L_	已經	宣布	-1.098306
wK}^ kG=_	防制	條例	-1.098306
}Q_d 0]Vj	我再	請問	-1.099376
}Q\y=f aJ=_	我們會	全力	-1.099376
\Ou[ nq	你講	得	-1.099376
Ek?1 El	讓它	更	-1.099376
Ibrq 78	這個	標	-1.099376
Wk ];~I	像	今年	-1.099376
CE^: NXIFNX	臺灣	有沒有	-1.100452
Ek?1 dRUO	讓它	可以	-1.100452
n?QM n?K_	執行	職務	-1.100452
p5 0WeY	災	保險	-1.102618
|J0_ Ye~l	人事	費用	-1.103708
D;}Q EYRl	跟我	反映	-1.103708
oa0_ iR	弱勢	者	-1.103708
}Q\y L_	我們	部	-1.104804
[V 2fq=	軌	衛星	-1.105904
_d[Z a_bi	在審	預算	-1.10701
}Q\y _dpa	我們	再做	-1.10701
h< :_01	鄉	地區	-1.10701
L9 RdTJ	邱	泰源	-1.10701
NJSY`l YewI	傳染性	肺炎	-1.10701
ph uT=M	案	改成	-1.10701
TJZ_4K L;}i	原住民	身分	-1.10701
UO U:FM	已	簽名	-1.10701
VO1g oa0_	比較	弱勢	-1.10701
wI:h ph	研究	案	-1.10701
=M9> =M	城中	城	-1.108121
`=M9 kGGK	增修	條文	-1.109238
CE^: KloO	臺灣	政府	-1.109238
F00_ E0	醫事	司	-1.109238
F0Wk L7Wl	一項	規定	-1.110359
QYYc |O	產業	署	-1.110359
:h0_ Wk	就是	像	-1.111487
dRUO 0_~l	可以	適用	-1.111487
N_ mlVD	目	凍結	-1.111487
TJ 68{H	爰	要求	-1.111487
}Qw[ :h1g	我想	就教	-1.112619
Ibrq paLP	這個	作法	-1.113757
p7ga Wk	包括	像	-1.113757
\_2f L;}iKl	數位	身分證	-1.114901
5_3: 0_K_	一般	事務	-1.114901
CE^: k\[O	臺灣	整體	-1.114901
KloOR0g: IXb[	政府機關	首長	-1.114901
ph ]O:i	案	裡面	-1.114901
wKV_ F0	防護	衣	-1.114901
=f 3>L_	會	公布	-1.11605
x_ZY ph	罷免	案	-1.11605
CE^: 2_aO	臺灣	自己	-1.117205
ph _M5_	案	同意	-1.119531
x7J` _`	高架	化	-1.119531
:_Dk aJ	地上	權	-1.120703
Kl0_ Ibrq	正視	這個	-1.120703
Wk fan_	像	過去	-1.120703
FM ~IZO	明	年底	-1.123065
A_ 5_hG	劑	疫苗	-1.124255
?1 =@=f	它	不會	-1.125451
CE^: [1]_	臺灣	加入	-1.125451
pa 03FM	作	說明	-1.125451
=@tf cY	不要	減	-1.127861
L_p? 9\gf	不實	廣告	-1.127861
tf :h1g	要	就教	-1.127861
uh0_ Wk	但是	像	-1.127861
2@9> cY5_	集中	檢疫	-1.129076
iI ]O:i	欄	裡面	-1.129076
Wk n_~I	像	去年	-1.129076
?1 :h=f	它	就會	-1.130296
0_KD _`	識別	化	-1.130296
5_[O 0_~l	一體	適用	-1.130296
CE^: k\rq	臺灣	整個	-1.130296
|O ]O:i	署	裡面	-1.131524
CEU< }F	臺商	回	-1.131524
Wk IbIkan	像	這樣子	-1.131524
ZY2P mlVD	免予	凍結	-1.132757
}Q0_ NO	我是	指	-1.133997
CE^: dRUO	臺灣	可以	-1.133997
kGGK NX	條文	有	-1.133997
RO9P _`	子女	化	-1.133997
[1 c[U<	家	廠商	-1.135244
aJ>C R0g:	權責	機關	-1.136497
F0Wk :_F0wY	一項	第一款	-1.136497
TJ {?ph	爰	提案	-1.136497
yfx@ aJ	調查	權	-1.136497
`l E08_	性	私密	-1.137757
`M}IcV=_ |O	農田水利	署	-1.137757
ph dRUO	案	可以	-1.137757
j64L ZX	非常	久	-1.139024
L;0] ph	申請	案	-1.139024
Wk EfLj	像	最近	-1.140298
}8pa nq	都做	得	-1.141579
CR 3>L_	所	公布	-1.141579
?1 ]O:i	它	裡面	-1.142866
3> XD=f	公	協會	-1.142866
kG ]O:i	條	裡面	-1.142866
\O\y NXn_	你們	有去	-1.144161
5_ I<9>	議	當中	-1.144161
CE^: 7f	臺灣	對	-1.144161
EE {?^=	來	提升	-1.144161
m@O_ }Q	答復	我	-1.144161
_M|J NX	同仁	有	-1.145463
CE^: UOo=	臺灣	已經	-1.145463
F0 XDU<	依	協商	-1.145463
kGGK L_0>fa	條文	不通過	-1.145463
WBNXQEQY |O	國有財產	署	-1.145463
xU QdFW	美	代表	-1.145463
?1 3@p?0_	它	其實是	-1.146772
}Q 0_w[	我	是想	-1.146772
=@0_ Wk	不是	像	-1.146772
yS NXn_	也	有去	-1.146772
_` ?0rg	化	之後	-1.148089
^l0] 3>3E	敬請	公決	-1.148089
I<pa 0_	當作	是	-1.148089
`MYc Ei	農業	縣	-1.149413
<iml _`	電動	化	-1.149413
9> 4L=M	中	長程	-1.149413
EMCE YciR	平臺	業者	-1.149413
KlQ= {O	政風	處	-1.149413
Wk ];N:	像	今天	-1.149413
Ek?1 NX	讓它	有	-1.150744
3;L_ tf	宣布	要	-1.152083
CE^: EE03	臺灣	來說	-1.152083
:P `_Yc	旅	宿業	-1.15343
?1:h0_ F0rq	它就是	一個	-1.15343
{?^= A__`	提升	計畫	-1.15343
8_8_ =f5_	秘密	會議	-1.15343
_;BX E0	心口	司	-1.154784
CE^: {h	臺灣	和	-1.154784
dRUO _dpa	可以	再做	-1.154784
F0rq kGGK	一個	條文	-1.154784
IP?1 I<pa	把它	當作	-1.154784
NX 3>L_	有	公布	-1.154784
8_8_ LP	秘密	法	-1.156147
~_ }Q_d	那	我再	-1.157517
kGGK L7Wl	條文	規定	-1.157517
4Mpg {?^=	能夠	提升	-1.158895
kG 0WvH	條	保留	-1.158895
kGGK \ekM	條文	內容	-1.158895
n: YecV	氚	廢水	-1.158895
0i s2@W	占	多少	-1.160282
0Wa_ LP	保育	法	-1.160282
5_kG kGGK	一條	條文	-1.160282
CE^: QYYc	臺灣	產業	-1.160282
IXb[ g:TJ	首長	官員	-1.160282
MW6T ?1\y	瞭解	他們	-1.160282
R0~O TJ	機組	員	-1.160282
:_aO ph	第幾	案	-1.161676
:h1g L_b[	就教	部長	-1.161676
=f_f qh3>0_	會報	辦公室	-1.161676
3>L_ l0EE	公布	出來	-1.161676
zJPM ph	陳情	案	-1.161676
\0FM _`	污名	化	-1.163079
5_x4 u?i_	一些	疑慮	-1.163079
UOo= 3>L_	已經	公布	-1.163079
Ei0_ IXb[	縣市	首長	-1.164491
m@ <ic[	達	電廠	-1.164491
n?QM \_	執行	數	-1.165911
O_ NON7g:	副	指揮官	-1.165911
F0mG BL4M	醫療	量能	-1.167339
N@6C {?^=	如何	提升	-1.167339
O_ |J0_	副	人事	-1.167339
T: QErh	兼	裁判	-1.167339
?10_ ~l	它是	用	-1.170223
A__` ]O	計畫	裡	-1.170223
Ci5_ kGGK	建議	條文	-1.170223
CRNX _M|J	所有	同仁	-1.170223
rgVe mlTJ	後備	動員	-1.170223
T_3> hI	故宮	南	-1.170223
Wk ?05J	像	之前	-1.170223
ph 6CSl	案	合併	-1.171678
{?ph cY	提案	減	-1.173142
CE^: 4Mpg	臺灣	能夠	-1.174615
CE^: CRNX	臺灣	所有	-1.174615
o=A_ oa0_	經濟	弱勢	-1.174615
ph GK2_	案	文字	-1.174615
R@ QYbZ	漁	產品	-1.174615
?;^@ 4L	分局	長	-1.176098
}Q\y=f _dpa	我們會	再做	-1.176098
x71g E0	高教	司	-1.176098
_d {?^=	再	提升	-1.17759
3@=M 0_	期程	是	-1.179092
7fxd 3;L_	對外	宣布	-1.179092
dRUO {?^=	可以	提升	-1.179092
dRUO 3>L_	可以	公布	-1.179092
g<`f uhtf	槍砲	彈藥	-1.179092
T[ |_BZ	綁	大選	-1.179092
4KKl E0	民政	司	-1.180603
C02: 4L	資安	長	-1.180603
g57k xU	開放	美	-1.180603
rgVe 0i=_	後備	戰力	-1.180603
0W @@K_	保	服務	-1.182124
MW6T ?0rg	瞭解	之後	-1.182124
_M|J yS	同仁	也	-1.183655
?1 11tf	它	需要	-1.183655
nq p=p={O{O	得	清清楚楚	-1.183655
_dpa Lju?L_	再做	進一步	-1.185196
_M|J }8	同仁	都	-1.185196
}Q NXn_	我	有去	-1.185196
0_ ?0l0	式	支出	-1.185196
Cb 3>tO	各	公股	-1.185196
?1 Sl=@0_	它	並不是	-1.186747
0i 0WvH	暫	保留	-1.186747
0TS_ x7J`	鐵路	高架	-1.186747
C0 0WV_	資	保護	-1.186747
F0 n?aJ	依	職權	-1.186747
F0tf E0	醫藥	司	-1.186747
LPi_ 2f	法律	位	-1.186747
ph NXg:	案	有關	-1.186747
CE^: :h0_	臺灣	就是	-1.188308
^=A_ QYYc	生技	產業	-1.18988
=_LP 5_NO	立法	意旨	-1.18988
|_LPg: 0_Ei	大法官	釋憲	-1.18988
3@ p?Wk	其	實像	-1.18988
}Q\y _dgI	我們	在談	-1.191463
}Q\y EYRl	我們	反映	-1.191463
tf aJ=_	要	全力	-1.191463
vh WlJ`	碳	定價	-1.191463
[1 1K~K	家	銀行	-1.193056
@@ L_@@6C	符	不符合	-1.193056
0_~l 7fWk	適用	對象	-1.193056
Ci}^ >J=M	建置	完成	-1.193056
cY5_ iR	檢疫	者	-1.193056
E0 L_mJ	私	部門	-1.193056
L7>C R@	歸責	於	-1.193056
m@O_ L_}i	答復	部分	-1.193056
vh B85_	碳	交易	-1.193056
_M|J EE	同仁	來	-1.19466
CE^: =f	臺灣	會	-1.19466
R0g: IXb[	機關	首長	-1.19466
xU2f l04@	每位	出席	-1.19466
xUWB ^=4@	美國	升息	-1.19466
1_ 3;L_	日	宣布	-1.196275
I<pa F0rq	當作	一個	-1.196275
=_ F0ci	立	醫院	-1.197901
pa GK2_	作	文字	-1.197901
ph Ci5_	案	建議	-1.197901
Wl Ibrq	訂	這個	-1.197901
:PQM Yc	旅行	業	-1.201188
}FO_ cf	回復	到	-1.201188
EYRl ~U	反映	給	-1.201188
]_ A_S_	入	紀錄	-1.202849
}^2: =f_f	治安	會報	-1.202849
}Q\y _dDk	我們	在上	-1.202849
c= =1wI	瓔	發言	-1.202849
CEvU :_cY|O	臺北	地檢署	-1.202849
GfA_ MlR@	歲計	賸餘	-1.202849
tf _dpa	要	再做	-1.202849
vY]O |O	管理	署	-1.202849
?1 Ibrq	它	這個	-1.204522
}Q_d {?1]	我再	提醒	-1.204522
Ci5_ cY	建議	減	-1.204522
|O c=f5	署	應該	-1.206206
0>0> }80_	統統	都是	-1.206206
CE^: ^HC0	臺灣	投資	-1.206206
CE^: pa	臺灣	做	-1.206206
HEtf _dpa	還要	再做	-1.206206
Wlqq F0rq	訂了	一個	-1.206206
?1 k\rq	它	整個	-1.207903
}Q\y UO	我們	已	-1.207903
CE^: c=f5	臺灣	應該	-1.207903
cO QY:_	洗	產地	-1.207903
fa=M ]O	過程	裡	-1.207903
FM =1wI	銘	發言	-1.207903
KlQ= 7:2f	政風	單位	-1.207903
NX u?5_	有	疑義	-1.207903
7` WB[17f	詐	國家隊	-1.209612
MW6T k\rq	瞭解	整個	-1.209612
ZlWl 3@	另定	期	-1.209612
[Zx@ >Jxj	審查	完竣	-1.211334
=_5_ BL2i	立意	良善	-1.211334
uhtf t7gc	彈藥	刀械	-1.211334
CE^: 4KzO	臺灣	民主	-1.213068
El 89wI	更	周延	-1.213068
I: s2@W	編	多少	-1.213068
L_ NXIFNX	部	有沒有	-1.213068
nq N@6C	得	如何	-1.213068
=_ {?^=	力	提升	-1.214815
0>0> }8IFNX	統統	都沒有	-1.214815
cY acqq	減	列了	-1.214815
Ibrq 3@=M	這個	期程	-1.214815
L` F0ph	下	一案	-1.214815
nq p={O	得	清楚	-1.214815
0>0> IFNX	統統	沒有	-1.216575
5_GK DJ[O	藝文	團體	-1.216575
Ibq[ ph	這兩	案	-1.216575
iI =1wI	蘭	發言	-1.216575
_dD; \O	在跟	你	-1.218349
}^ =1wI	智	發言	-1.218349
0>0> }8tf	統統	都要	-1.218349
Ibrq n?K_	這個	職務	-1.218349
L_ IbI:	部	這邊	-1.218349
tf Ci}^	要	建置	-1.218349
vh cIx@	碳	盤查	-1.218349
=@tf C:	不要	刪	-1.220136
3@ A__`	期	計畫	-1.220136
4L=M A__`	長程	計畫	-1.220136
Dk ;f3>E0	上	櫃公司	-1.220136
Q;2f?1 IFNX	因為它	沒有	-1.220136
YewI wK}^	肺炎	防治	-1.220136
?0F0 kGGK	之一	條文	-1.221937
4Kwl EYRl	民眾	反映	-1.221937
6N=@0_ Wk	而不是	像	-1.221937
cYx@ 0_K_g:	檢察	事務官	-1.221937
Lj Ef|_	盡	最大	-1.221937
ph NXIFNX	案	有沒有	-1.221937
y<<i BY	光電	板	-1.221937
_M|J |_[1	同仁	大家	-1.223752
?1 SlIFNX	它	並沒有	-1.223752
]e4_ Wk	類似	像	-1.223752
}8 0_~l	都	適用	-1.223752
}Q\y aJ=_	我們	全力	-1.223752
=f =1wI	惠	發言	-1.223752
4Lmf E0	長照	司	-1.223752
5_n? _d03	一直	在說	-1.223752
C: s2@W	刪	多少	-1.223752
h<9j 0_	鄉鎮	市	-1.223752
r\0_ Q;	影視	音	-1.223752
V_ L0w?{H	互	踢皮球	-1.223752
9i BXmf	片	口罩	-1.22558
L9 L]mf	邱	總召	-1.22558
~\ec PO~l	警械	使用	-1.227423
3@?1 Wk	其他	像	-1.227423
KZL_ =M	本部	承	-1.227423
?1 HENX	它	還有	-1.229281
78 L_l0n_	標	不出去	-1.229281
BY kGGK	版	條文	-1.229281
n?K_ Dk	職務	上	-1.229281
ph g5PO	案	開始	-1.229281
Q;2f?1 =@0_	因為它	不是	-1.229281
?1 ySNX	它	也有	-1.231154
cYx@ E0	檢察	司	-1.231154
kG M9Kl	條	修正	-1.231154
L_ c=f5	部	應該	-1.231154
QM M9Kl	行	修正	-1.231154
}Q_d GLyf	我再	強調	-1.233041
CEU< }FvH	臺商	回流	-1.233041
H< =1wI	芳	發言	-1.233041
lI Udqq	涵	蓋了	-1.233041
nq Els2	得	更多	-1.233041
paLP Dk	作法	上	-1.233041
vh lO}2	碳	捕捉	-1.233041
Wk O_Qd	項	附帶	-1.233041
}Q_d 03FM	我再	說明	-1.234944
}Q\y =f2P	我們	會與	-1.234944
C0 9>_;	資	中心	-1.234944
nq h<I<	得	相當	-1.234944
?1 KZEE	它	本來	-1.236862
}Q\y =13E	我們	發覺	-1.236862
Ek?1 8i=M	讓它	變成	-1.236862
L_ dRUO	部	可以	-1.236862
oO 5E3g	輔	學校	-1.236862
}8u[ nq	都講	得	-1.238797
0W|J TJ	保人	員	-1.238797
C_?] Ci}^	系統	建置	-1.238797
Ek?1 0>fa	讓它	通過	-1.238797
F0Wk :_EmwY	一項	第二款	-1.238797
IbH] paLP	這種	作法	-1.238797
T: kG=_	監	條例	-1.238797
L` M9cf	下	修到	-1.240747
?1 cfZO	它	到底	-1.242713
?1 I<sI	它	當然	-1.242713
CE^: =_PO	臺灣	歷史	-1.242713
CE^: KZ4W	臺灣	本島	-1.242713
kG rFo?	條	維持	-1.242713
NX=_ 78	有利	標	-1.242713
ph {?ph	案	提案	-1.242713
?1 c=f50_	它	應該是	-1.244696
}Q\y=f 0_	我們會	視	-1.244696
:_aO kG	第幾	條	-1.246696
?1 2fEE	它	未來	-1.246696
0_ I:_d	是	編在	-1.246696
CE^: :h	臺灣	就	-1.246696
|O 03FM	署	說明	-1.248714
0_~l WGR0LP	適用	勞基法	-1.248714
0_K_ {O	事務	處	-1.248714
nq VO1g:W	得	比較好	-1.248714
S_ =1wI	祿	發言	-1.248714
Wk aBN:	像	昨天	-1.248714
_dpa 5W^j	再做	討論	-1.250748
=@tf _du[	不要	再講	-1.250748
0_ =f5_	事	會議	-1.250748
0>0> tf	統統	要	-1.250748
A_ |JTJ	技	人員	-1.250748
EYRl Ibrq	反映	這個	-1.250748
O_ IXb[	副	首長	-1.250748
rgVe NON7L_	後備	指揮部	-1.250748
sIIF R0~O	燃煤	機組	-1.250748
?1 VO1g	它	比較	-1.252801
}Q =13E	我	發覺	-1.252801
=@5_ u?NO	不義	遺址	-1.252801
CE^: 0_=@0_	臺灣	是不是	-1.252801
CE^: Ibrq	臺灣	這個	-1.252801
CE^: ySNX	臺灣	也有	-1.252801
nq UZ3e	得	很快	-1.252801
:h1g zORV	就教	主委	-1.254871
?1 7fR@	它	對於	-1.254871
?1 8i=M	它	變成	-1.254871
[O=_ Dk	體例	上	-1.254871
\O NXn_	你	有去	-1.254871
|O UOo=	署	已經	-1.254871
3@p? L_NO	其實	不只	-1.254871
OP F0ph	哪	一案	-1.254871
:h 3>L_	就	公布	-1.25696
?1=f NX	它會	有	-1.25696
|O 0>fa	數	通過	-1.25696
1g 9>_;	教	中心	-1.25696
3@?1 kGGK	其他	條文	-1.25696
CE^: NXUZs2	臺灣	有很多	-1.25696
L_ =M=_	部	成立	-1.25696
WB2:^@ 4L	國安局	長	-1.25696
Z_xd vY	駐外	館	-1.25696
:<0_ g:d=	軍士	官兵	-1.259068
|O NXIFNX	署	有沒有	-1.259068
0_ 5_PM	視	疫情	-1.259068
3>Kb VO	公設	比	-1.259068
8fM9 C0dY	退休	資遣	-1.259068
c=f5 tfnH	應該	要由	-1.259068
cY5_ ha	檢疫	或	-1.259068
Ibx4 oa0_	這些	弱勢	-1.259068
kGGK ]O	條文	裡	-1.259068
ml s2@W	凍	多少	-1.259068
V:Lj }^=M	先進	製程	-1.259068
yS 3;L_	也	宣布	-1.259068
_M|J n_	同仁	去	-1.261194
0WV_ E0	保護	司	-1.261194
3>0_ R0];=f	公視	基金會	-1.261194
7:Wk XD=f	單項	協會	-1.261194
F0rq 3@=M	一個	期程	-1.261194
_dpa cY5W	再做	檢討	-1.263341
:h 3;L_	就	宣布	-1.263341
?1:h dRUO	它就	可以	-1.263341
|O dRUO	署	可以	-1.263341
kGGK CWph	條文	草案	-1.263341
MW6T h<g:	瞭解	相關	-1.263341
paLP :h0_	作法	就是	-1.263341
Wk Dk3_	像	上次	-1.263341
zOvYR0g: nq	主管機關	得	-1.263341
_M|J 03	同仁	說	-1.265506
8:\0 }^Ef	貪污	治罪	-1.265506
CE^: =MrF	臺灣	成為	-1.265506
cYzj p?	簡訊	實	-1.265506
kGGK IFNX	條文	沒有	-1.265506
L_ J;7f	部	針對	-1.265506
n_x@ c[	去查	廠	-1.265506
ph zOtf0_	案	主要是	-1.265506
tf 0_~l	要	適用	-1.265506
Wk lIWB	像	韓國	-1.265506
]O >]0_b[	李	董事長	-1.267692
0] 0_Ei	請	釋憲	-1.267692
1g 0W|J	教	保人	-1.267692
7_N@ Wk	譬如	像	-1.267692
C0dY oOo_	資遣	撫卹	-1.267692
CE^: fan_	臺灣	過去	-1.267692
CE^: N@7R	臺灣	如果	-1.267692
h<g: 0_K_	相關	事務	-1.267692
MW6T zhzh	瞭解	看看	-1.267692
?1 L_4M	它	不能	-1.269899
0_w[ 03	是想	說	-1.269899
5_ h<g:	議	相關	-1.269899
EYRl cf	反映	到	-1.269899
kGGK I<9>	條文	當中	-1.269899
UO A@=@	已	讀不	-1.269899
vh O@R0	碳	足跡	-1.269899
_M|J D;	同仁	跟	-1.272127
